"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1829792848289677826","Sat Aug 31 16:54:27 +0000 2024","1","@aqfiazfan Jgn2 ini fufufafa suhu semproters ya hu @kataceking","1829925730819723654","","aqfiazfan","in","Jakarta Selatan, DKI Jakarta","0","1","0","https://x.com/Adiwir_/status/1829925730819723654","1122079053555490816","Adiwir_"
"1829925531401457787","Sat Aug 31 16:53:39 +0000 2024","0","Pilihan Bijak #aniesbaswedan #fufufafa https://t.co/e8BNAEi9bU","1829925531401457787","https://pbs.twimg.com/ext_tw_video_thumb/1829925449394237441/pu/img/bh-hnZQiKAnV27Vj.jpg","","in","Kota Medan, Sumatera Utara","0","0","0","https://x.com/sahattobing69/status/1829925531401457787","1608457808546271233","sahattobing69"
"1829415914770727370","Sat Aug 31 16:52:52 +0000 2024","1","@DokterTifa Gimana ya pak PS skrg setelah tahu siapa si fufufafa... Apakah diam saja atau berencana mengganti wakilnya.... Musuh dlm selimut dng wajah bermuka dua...","1829925332323090856","","DokterTifa","in","","0","0","0","https://x.com/GhinaAthi/status/1829925332323090856","1757391470393454592","GhinaAthi"
"1829842656291406019","Sat Aug 31 16:52:20 +0000 2024","0","@Dahnilanzar @Gerindra @prabowo fufufafa aja dolooo","1829925199820832814","","Dahnilanzar","in","","0","0","0","https://x.com/joyredbelbet/status/1829925199820832814","1797221166194864129","joyredbelbet"
"1829925043025121415","Sat Aug 31 16:51:43 +0000 2024","0","Fufufafa bin Mulyono","1829925043025121415","","","in","Kota Medan, Sumatera Utara","0","0","0","https://x.com/TehSusuTelorr/status/1829925043025121415","83316584","TehSusuTelorr"
"1829457871446163704","Sat Aug 31 16:51:42 +0000 2024","0","@SumitroYoel Loh buruh dah direpresi di rejim mulyono di rejim bapake gibran rakabuming raka gnarly fufufafa wkwkwkwk Lu liat judol pinjol marak wkwkwwk uu omnibus law ciptaker noh yang paling ketara bikin makin kejam dunia kerja indonesia","1829925040764436668","","SumitroYoel","in","","0","0","0","https://x.com/eliswija/status/1829925040764436668","2310328974","eliswija"
"1829792848289677826","Sat Aug 31 16:51:25 +0000 2024","0","@ln1minute @andikabp__ @BudiBukanIntel @aqfiazfan mau nyari vokev undip keknya","1829924966722404852","","ln1minute","in","","0","0","0","https://x.com/fufufafagnarly/status/1829924966722404852","1720354447971491840","fufufafagnarly"
"1829908115615334614","Sat Aug 31 16:51:15 +0000 2024","1","@Mark_Zepper Dia lagi fufufafa","1829924926712922121","","Mark_Zepper","in","","0","0","0","https://x.com/KinjengKolenka/status/1829924926712922121","1164205338742050816","KinjengKolenka"
"1829924899831628099","Sat Aug 31 16:51:09 +0000 2024","0","Daya pikat IKN di mata investor asing Malam Minggu Fufufafa EH KOCAK Malming Wasit Kaskus Purwokerto Partai Perubahan Indonesia https://t.co/P0GcfYRq5C","1829924899831628099","https://pbs.twimg.com/ext_tw_video_thumb/1829924809712812034/pu/img/wh3rce6wvOpQuFEv.jpg","","in","","0","0","1","https://x.com/reyta90_1/status/1829924899831628099","1782669992779235328","reyta90_1"
"1829924846194868420","Sat Aug 31 16:50:56 +0000 2024","0","Tolak Money Politik Sejumlah Ormas Pemuda Di Selayar Desak Deklarasi https://t.co/ufHzRiyzeJ Malam Minggu Fufufafa","1829924846194868420","","","in","Surabaya","0","0","0","https://x.com/JBNNEWSonline/status/1829924846194868420","1679955953259798528","JBNNEWSonline"
"1829924788443496916","Sat Aug 31 16:50:42 +0000 2024","0","gak abis abis gue ngetawain display name fufufafa","1829924788443496916","","","in","","0","1","0","https://x.com/memouara/status/1829924788443496916","832886353645891584","memouara"
"1829792848289677826","Sat Aug 31 16:50:35 +0000 2024","0","@fadrymoh @andikabp__ @BudiBukanIntel @aqfiazfan Takdir Tuhan agar rakyat pinter dalam pemilu","1829924757678276881","","fadrymoh","in","","0","0","0","https://x.com/fufufafagnarly/status/1829924757678276881","1720354447971491840","fufufafagnarly"
"1829924750468268444","Sat Aug 31 16:50:33 +0000 2024","0","Kalau menghina Mulyono dan Fufufafa bakal kena ITE ga sih?","1829924750468268444","","","in","Bandung, Indonesia","0","0","0","https://x.com/_wulung_/status/1829924750468268444","1002939797910876161","_wulung_"
"1829924420191994231","Sat Aug 31 16:49:14 +0000 2024","0","Fufufafa partai perubahan indonesia rokok tingwe alat dari indomaret purwokerto coblos kaskus huehuehue https://t.co/YzSmFBESaE","1829924420191994231","https://pbs.twimg.com/media/GWUyj-DbsAARySQ.jpg","","in","","0","0","0","https://x.com/UstazSosmed/status/1829924420191994231","840721963207217152","UstazSosmed"
"1829924416903659663","Sat Aug 31 16:49:13 +0000 2024","116","Malming malam minggu sanggup ready fufufafa. https://t.co/P1mDqixW8W","1829924416903659663","https://pbs.twimg.com/media/GWUyj1IacAAACgh.jpg","","in","","0","19","32","https://x.com/06_nysh8264/status/1829924416903659663","1816743319512440832","06_nysh8264"
"1829780429790199904","Sat Aug 31 16:48:55 +0000 2024","0","@idwiki klo fufufafa?","1829924338516287563","","idwiki","in","","0","0","0","https://x.com/choconutepie/status/1829924338516287563","1778363563880620032","choconutepie"
"1829924223927927066","Sat Aug 31 16:48:27 +0000 2024","0","belom tau ketikannya fufufafa atau pura-pura gak tau wkwk","1829924223927927066","","","in","","0","0","0","https://x.com/gabuttaja/status/1829924223927927066","3228194510","gabuttaja"
"1829792848289677826","Sat Aug 31 16:48:27 +0000 2024","0","@andikabp__ @BudiBukanIntel @aqfiazfan btw bukan belain samsul itu semprot bisa ganti username dengan gampang gak ya?","1829924219918172409","","andikabp__","in","","0","1","0","https://x.com/fufufafagnarly/status/1829924219918172409","1720354447971491840","fufufafagnarly"
"1829725736946844036","Sat Aug 31 16:47:40 +0000 2024","0","@rzlhmdfz fufufafa min wkwkw","1829924024908202144","","rzlhmdfz","in","","0","0","0","https://x.com/ncikpartdua/status/1829924024908202144","1709567771745685504","ncikpartdua"
"1829792848289677826","Sat Aug 31 16:47:39 +0000 2024","1","@andikabp__ @BudiBukanIntel @aqfiazfan padahal si botak pendukung fanatik oke gas illfill banget loh sama kejujuran si janggar bilang WONG SAYA SUKA KOK ketika nanya janggar meski janggar bilang kalau ada istri gak usah nonton gituan lagi.","1829924018994184269","","andikabp__","in","","0","0","0","https://x.com/fufufafagnarly/status/1829924018994184269","1720354447971491840","fufufafagnarly"
